firstName,lastName,teamName,source,GP,MIN_avg,PTS_avg,REB_avg,AST_avg,STL_avg,BLK_avg,TO_avg,FG2_pct,FG3_pct,FT_pct,EVAL_avg
DEIVIDAS,SIRVYDIS,Zalgiris Kaunas,EuroLeague,34.0,16.54264705882353,8.4,2.6,0.8,0.5,0.1,1.1,0.515,0.38799999999999996,0.691,7.0
ANDRE,ROBERSON,LDLC ASVEL Villeurbanne,EuroLeague,25.0,25.840666666666667,8.4,6.2,1.4,1.2,1.1,1.6,0.524,0.35700000000000004,0.61,10.5
OMER,YURTSEVEN,Panathinaikos AKTOR Athens,EuroLeague,31.0,14.579569892473115,8.4,4.0,0.6,0.4,0.7,1.4,0.633,0.4,0.708,9.4
MATTHEW,STRAZEL,AS Monaco,EuroLeague,41.0,20.24878048780488,8.3,1.2,2.4,0.5,0.0,1.0,0.505,0.41,0.843,8.0
FABIEN,CAUSEUR,EA7 Emporio Armani Milan,EuroLeague,22.0,21.018181818181816,8.3,2.8,1.7,1.0,0.1,0.9,0.596,0.528,0.769,9.9
PARIS,LEE,LDLC ASVEL Villeurbanne,EuroLeague,26.0,22.016666666666666,8.3,1.5,3.1,0.8,0.0,1.1,0.3,0.341,0.8420000000000001,7.0
WILLY,HERNANGOMEZ,FC Barcelona,EuroLeague,34.0,15.836764705882354,8.2,4.1,0.5,0.6,0.1,1.1,0.6409999999999999,0.0,0.6729999999999999,10.8
NICK,WEILER-BABB,FC Bayern Munich,EuroLeague,34.0,26.347549019607843,8.2,4.1,4.9,1.5,0.1,1.6,0.5670000000000001,0.435,0.727,12.9
IGNAS,BRAZDEIKIS,Zalgiris Kaunas,EuroLeague,29.0,17.655172413793103,8.2,3.2,1.4,0.3,0.1,0.9,0.522,0.24,0.8859999999999999,7.6
NIKOLA,MILUTINOV,Olympiacos Piraeus,EuroLeague,29.0,19.86264367816092,8.2,5.8,0.8,0.6,0.7,0.6,0.5820000000000001,0.0,0.8370000000000001,14.4
ALEN,SMAILAGIC,Zalgiris Kaunas,EuroLeague,29.0,15.004597701149423,8.1,2.9,0.4,0.4,0.6,0.9,0.677,0.349,0.735,7.8
ALEC,PETERS,Olympiacos Piraeus,EuroLeague,40.0,16.43208333333333,8.1,2.6,0.8,0.3,0.0,0.4,0.5529999999999999,0.523,0.938,9.0
ANTE,ZIZIC,Virtus Bologna,EuroLeague,25.0,16.474,8.0,3.8,0.3,0.3,0.6,0.8,0.642,0.0,0.644,9.5
GABRIEL,DECK,Real Madrid,EuroLeague,28.0,23.37559523809524,8.0,3.2,1.4,0.5,0.2,1.0,0.618,0.41200000000000003,0.654,8.6
IFFE,LUNDBERG,Partizan Mozzart Bet Belgrade,EuroLeague,26.0,24.91217948717949,7.9,2.2,3.0,0.9,0.0,1.1,0.349,0.34600000000000003,0.8,7.3
MATTHEW,MORGAN,Virtus Bologna,EuroLeague,34.0,18.65686274509804,7.8,1.7,2.6,0.5,0.0,1.0,0.56,0.271,0.925,7.6
DEVON,HALL,Fenerbahce Beko Istanbul,EuroLeague,32.0,23.472395833333334,7.8,2.2,3.4,0.5,0.1,1.3,0.536,0.387,0.8220000000000001,8.8
JARON,BLOSSOMGAME,AS Monaco,EuroLeague,40.0,24.065,7.7,4.1,0.5,0.4,0.2,0.4,0.613,0.312,0.638,9.1
ISAAC,BONGA,Partizan Mozzart Bet Belgrade,EuroLeague,30.0,24.98,7.7,4.5,1.1,0.7,0.5,0.7,0.49200000000000005,0.41200000000000003,0.9329999999999999,9.8
COLLIN,MALCOLM,Paris Basketball,EuroLeague,33.0,18.953535353535354,7.7,2.5,1.2,0.4,0.2,0.7,0.5529999999999999,0.327,0.7709999999999999,7.2
ARMONI,BROOKS,EA7 Emporio Armani Milan,EuroLeague,32.0,15.011979166666666,7.6,2.0,0.8,0.5,0.1,0.5,0.45799999999999996,0.413,0.966,6.1
JORDAN,NWORA,Anadolu Efes Istanbul,EuroLeague,37.0,16.82162162162162,7.6,3.3,0.8,0.5,0.2,1.3,0.508,0.345,0.865,6.8
SHAQUIELLE,MCKISSIC,Olympiacos Piraeus,EuroLeague,38.0,16.432894736842105,7.6,2.1,1.6,0.5,0.0,1.0,0.627,0.312,0.652,7.2
NENO,DIMITRIJEVIC,EA7 Emporio Armani Milan,EuroLeague,27.0,16.849382716049384,7.6,1.6,2.9,0.4,0.0,1.5,0.451,0.237,0.873,6.5
MAM,JAITEH,AS Monaco,EuroLeague,31.0,14.638709677419357,7.5,4.0,0.6,0.5,0.3,1.1,0.6559999999999999,0.0,0.632,9.0
MIKAEL,JANTUNEN,Paris Basketball,EuroLeague,38.0,25.51315789473684,7.5,4.8,1.0,0.7,0.2,0.4,0.632,0.38799999999999996,0.8240000000000001,9.5
TADAS,SEDEKERSKIS,Baskonia Vitoria-Gasteiz,EuroLeague,25.0,24.41133333333333,7.4,4.8,1.7,0.3,0.2,0.9,0.605,0.444,0.743,11.5
GEORGIOS,PAPAGIANNIS,AS Monaco,EuroLeague,29.0,16.508045977011495,7.3,3.4,0.5,0.5,1.3,0.6,0.667,0.39299999999999996,0.9,8.8
JUSTIN,ANDERSON,FC Barcelona,EuroLeague,37.0,19.57072072072072,7.1,2.8,1.4,0.7,0.3,0.5,0.626,0.413,0.8809999999999999,8.5
KAMAR,BALDWIN,Baskonia Vitoria-Gasteiz,EuroLeague,25.0,21.412,7.1,1.7,3.7,0.9,0.2,0.9,0.43,0.303,0.8,6.4
LEANDRO,BOLMARO,EA7 Emporio Armani Milan,EuroLeague,25.0,22.40266666666667,6.9,2.4,3.1,1.1,0.2,1.2,0.509,0.222,0.674,8.8
ROLANDS,SMITS,Anadolu Efes Istanbul,EuroLeague,39.0,18.14145299145299,6.8,2.5,0.9,0.3,0.1,0.9,0.677,0.386,0.818,6.7
BONZIE,COLSON,Fenerbahce Beko Istanbul,EuroLeague,39.0,18.449572649572648,6.7,3.5,0.5,0.6,0.3,0.8,0.478,0.35700000000000004,0.6579999999999999,6.8
